step,target_loss_component,decoded_distance_reference,learning_rate,total,target,latent,decoded,physiological,weighted_target,weighted_latent,weighted_decoded,weighted_physiological,decoded_joint,target_confidence_component,target_focal_component,target_vc_component,target_vc_latent_posterior_kl,target_vc_discriminator_kl,target_vc_class_prior_kl,typicality,discrepancy,weighted_typicality,predicted_class,target_probability,success,probability_0,probability_1,gradient_norm,typicality_threshold,typical,optimization_success,decoded_valid,decoder_latent_rmse,d_z,decoded_joint_target_probability,decoded_joint_predicted_class,delta_dec_joint,selected_step_so_far
0,confidence,original_reconstruction,0.01,0.5250679850578308,0.5250679850578308,0.0,0.0,7.227906703948975,0.5250679850578308,0.0,0.0,0.0,0.0,0.5250679850578308,0.7882974743843079,0.0,0.0,0.0,0.0,0.0,0.14943242073059082,0.0,0,0.4732121527194977,False,0.5267878174781799,0.4732121527194977,0.8734296560287476,0.678627684362383,True,False,True,0.0,0.0,0.590557873249054,1,0.0,0
1,confidence,original_reconstruction,0.01,0.10765407979488373,0.10765399038791656,6.340830509543594e-07,2.1088224855247972e-07,7.225503444671631,0.10765399038791656,6.340830793760688e-08,2.1088224499976604e-08,0.0,2.1088224855247972e-07,0.10765399038791656,0.18633785843849182,0.0,0.0,0.0,0.0,0.0,0.14919650554656982,0.0,1,0.7183505892753601,False,0.2816494405269623,0.7183505892753601,0.45584872364997864,0.678627684362383,True,False,True,0.0007962933159433305,0.015774691477417946,0.589959979057312,1,0.00045921915443614125,1
2,confidence,original_reconstruction,0.01,3.1350757012660324e-07,0.0,2.3095285541785415e-06,8.255469765572343e-07,7.224389553070068,0.0,2.3095286394436698e-07,8.25546990768089e-08,0.0,8.255469765572343e-07,0.0,0.03912867233157158,0.0,0.0,0.0,0.0,0.0,0.14890645444393158,0.0,1,0.8650469779968262,True,0.1349530667066574,0.8650469779968262,8.463023846161377e-07,0.678627684362383,True,True,True,0.0015197133179754019,0.029778148978948593,0.5906131863594055,1,0.000908596150111407,2
3,confidence,original_reconstruction,0.01,5.9389316220404e-07,0.0,4.334859568189131e-06,1.6040722812249442e-06,7.222956657409668,0.0,4.334859511345712e-07,1.6040722528032347e-07,0.0,1.6040722812249442e-06,0.0,0.01173639576882124,0.0,0.0,0.0,0.0,0.0,0.14864076673984528,0.0,1,0.924867570400238,True,0.07513237744569778,0.924867570400238,1.1758208984247176e-06,0.678627684362383,True,True,True,0.0020820326171815395,0.03987612575292587,0.5913471579551697,1,0.0012665197718888521,2
4,confidence,original_reconstruction,0.01,8.915887974580983e-07,0.0,6.468143055826658e-06,2.4477444640069734e-06,7.2214226722717285,0.0,6.468143283200334e-07,2.4477444071635546e-07,0.0,2.4477444640069734e-06,0.0,0.0046216221526265144,0.0,0.0,0.0,0.0,0.0,0.14841008186340332,0.0,1,0.9525079727172852,True,0.047492098063230515,0.9525079727172852,1.4418769751500804e-06,0.678627684362383,True,True,True,0.002543254289776087,0.04756924510002136,0.5919683575630188,1,0.0015645269304513931,2
5,confidence,original_reconstruction,0.01,1.191417595691746e-06,0.0,8.604210961493663e-06,3.309965222797473e-06,7.219671726226807,0.0,8.604210961493663e-07,3.309965279640892e-07,0.0,3.309965222797473e-06,0.0,0.002213421743363142,0.0,0.0,0.0,0.0,0.0,0.14820997416973114,0.0,1,0.9670097827911377,True,0.032990191131830215,0.9670097827911377,1.6677746543791727e-06,0.678627684362383,True,True,True,0.0029332933481782675,0.05366180092096329,0.5924510955810547,1,0.0018193309661000967,2
6,confidence,original_reconstruction,0.01,1.4852209915261483e-06,0.0,1.0689861483115237e-05,4.162348432146246e-06,7.217807769775391,0.0,1.0689861937862588e-06,4.1623485458330833e-07,0.0,4.162348432146246e-06,0.0,0.0012226224644109607,0.0,0.0,0.0,0.0,0.0,0.1480349749326706,0.0,1,0.9754282832145691,True,0.024571681395173073,0.9754282832145691,1.8657691498447093e-06,0.678627684362383,True,True,True,0.003269535256549716,0.05861903727054596,0.5927071571350098,1,0.0020401834044605494,2
7,confidence,original_reconstruction,0.01,1.7683740907159518e-06,0.0,1.2696416888502426e-05,4.987323336536065e-06,7.216249465942383,0.0,1.2696417570623453e-06,4.987323336536065e-07,0.0,4.987323336536065e-06,0.0,0.0007513615419156849,0.0,0.0,0.0,0.0,0.0,0.14788399636745453,0.0,1,0.9807115197181702,True,0.019288446754217148,0.9807115197181702,2.047583166131517e-06,0.678627684362383,True,True,True,0.00356320315040648,0.06273017078638077,0.5929078459739685,1,0.002233231673017144,2
8,confidence,original_reconstruction,0.01,2.038985940089333e-06,0.0,1.460838939237874e-05,5.781469553767238e-06,7.214690685272217,0.0,1.4608389165005065e-06,5.781469667454076e-07,0.0,5.781469553767238e-06,0.0,0.0005010038148611784,0.0,0.0,0.0,0.0,0.0,0.14775115251541138,0.0,1,0.984235405921936,True,0.015764541923999786,0.984235405921936,2.2033273125998676e-06,0.678627684362383,True,True,True,0.0038220921996980906,0.06619765609502792,0.5932245254516602,1,0.002404468599706888,2
9,confidence,original_reconstruction,0.01,2.2945278033148497e-06,0.0,1.6417954611824825e-05,6.527322057081619e-06,7.21336555480957,0.0,1.6417955066572176e-06,6.527322398142132e-07,0.0,6.527322057081619e-06,0.0,0.0003557151067070663,0.0,0.0,0.0,0.0,0.0,0.14763447642326355,0.0,1,0.9867081642150879,True,0.013291887938976288,0.9867081642150879,2.335764747840585e-06,0.678627684362383,True,True,True,0.004051907453685999,0.06915871053934097,0.5934582948684692,1,0.002554862527176738,2
10,confidence,original_reconstruction,0.01,2.5348247163492488e-06,0.0,1.8122005712939426e-05,7.2262414505530614e-06,7.211947441101074,0.0,1.8122005940313102e-06,7.226241791613575e-07,0.0,7.2262414505530614e-06,0.0,0.00026545263244770467,0.0,0.0,0.0,0.0,0.0,0.1475296914577484,0.0,1,0.9885125160217285,True,0.011487510986626148,0.9885125160217285,2.4574060262239072e-06,0.678627684362383,True,True,True,0.004256994929164648,0.07172545045614243,0.5936792492866516,1,0.002688166918233037,2
11,confidence,original_reconstruction,0.01,2.7596593099588063e-06,0.0,1.9720426280400716e-05,7.876167728682049e-06,7.210856914520264,0.0,1.9720425825653365e-06,7.876167842368886e-07,0.0,7.876167728682049e-06,0.0,0.00020673756080213934,0.0,0.0,0.0,0.0,0.0,0.14743846654891968,0.0,1,0.9898588061332703,True,0.010141204111278057,0.9898588061332703,2.556334948167205e-06,0.678627684362383,True,True,True,0.004440768621861935,0.07394423335790634,0.5937362909317017,1,0.0028064509388059378,2
12,confidence,original_reconstruction,0.01,2.9694574550376274e-06,0.0,2.1215057131485082e-05,8.47951650939649e-06,7.209835052490234,0.0,2.1215057586232433e-06,8.479516395709652e-07,0.0,8.47951650939649e-06,0.0,0.00016645349387545139,0.0,0.0,0.0,0.0,0.0,0.14735673367977142,0.0,1,0.9908979535102844,True,0.009102074429392815,0.9908979535102844,2.6483451165404404e-06,0.678627684362383,True,True,True,0.0046059805899858475,0.07588261365890503,0.5940233469009399,1,0.0029119609389454126,2
13,confidence,original_reconstruction,0.01,3.164429017488146e-06,0.0,2.260898872918915e-05,9.035298717208207e-06,7.20896577835083,0.0,2.2608990093431203e-06,9.035298944581882e-07,0.0,9.035298717208207e-06,0.0,0.00013782602036371827,0.0,0.0,0.0,0.0,0.0,0.14728334546089172,0.0,1,0.9917158484458923,True,0.0082841282710433,0.9917158484458923,2.727592573137372e-06,0.678627684362383,True,True,True,0.004754891153424978,0.07759695500135422,0.5939423441886902,1,0.0030058773700147867,2
14,confidence,original_reconstruction,0.01,3.345704726598342e-06,0.0,2.3906133719719946e-05,9.550913091516122e-06,7.208011627197266,0.0,2.3906134174467297e-06,9.550913091516122e-07,0.0,9.550913091516122e-06,0.0,0.00011678992450470105,0.0,0.0,0.0,0.0,0.0,0.14721627533435822,0.0,1,0.9923729300498962,True,0.00762708717957139,0.9923729300498962,2.790429789456539e-06,0.678627684362383,True,True,True,0.004889389965683222,0.07910875976085663,0.594190776348114,1,0.0030904551967978477,2
15,confidence,original_reconstruction,0.01,3.512827788654249e-06,0.0,2.5110886781476438e-05,1.0017390195571352e-05,7.207136631011963,0.0,2.511088723622379e-06,1.0017390650318703e-06,0.0,1.0017390195571352e-05,0.0,0.00010094804019900039,0.0,0.0,0.0,0.0,0.0,0.14715759456157684,0.0,1,0.9929081201553345,True,0.007091873791068792,0.9929081201553345,2.8390570605552057e-06,0.678627684362383,True,True,True,0.005011076107621193,0.08044975250959396,0.5943857431411743,1,0.0031650259625166655,2
16,confidence,original_reconstruction,0.01,3.6671219731942983e-06,0.0,2.6227948183077388e-05,1.0443270184623543e-05,7.206208229064941,0.0,2.622794909257209e-06,1.0443270639370894e-06,0.0,1.0443270184623543e-05,0.0,8.88133145053871e-05,0.0,0.0,0.0,0.0,0.0,0.14710360765457153,0.0,1,0.9933472871780396,True,0.00665269885212183,0.9933472871780396,2.8970325729460455e-06,0.678627684362383,True,True,True,0.005121322814375162,0.08164530992507935,0.5944942831993103,1,0.003231604816392064,2
17,confidence,original_reconstruction,0.01,3.8097837204986718e-06,0.0,2.7262140065431595e-05,1.083569532056572e-05,7.205465316772461,0.0,2.7262140065431595e-06,1.0835696002686745e-06,0.0,1.083569532056572e-05,0.0,7.930299761937931e-05,0.0,0.0,0.0,0.0,0.0,0.14705663919448853,0.0,1,0.9937129616737366,True,0.006287041585892439,0.9937129616737366,2.948160044979886e-06,0.678627684362383,True,True,True,0.005221315659582615,0.08270813524723053,0.5945567488670349,1,0.0032917617354542017,2
