task,subject_id,trial_id,objective,status,threshold,typical,latent_target_success,typicality_success,round_trip_expected,round_trip_evaluated,artifact_directory,original_discrepancy,discrepancy,d_z,delta_dec,e_rec,original_probability,latent_probability,vcsc_original,vcsc_original_reconstruction,vcsc_counterfactual,selected_step,steps_completed,stop_reason,physiological_passed,physiological_passed_count,physiological_available_count,physiological_required_count,available_physiological_checks_passed,decoded_target_success,decoded_typical,decoded_typicality_success,decoded_probability,decoded_discrepancy,reconstruction_probability,reconstruction_discrepancy,reconstruction_preserves_prediction,reconstruction_confidence_drop,counterfactual_target_probability_drop,reconstruction_embedding_cycle_rmse,counterfactual_embedding_cycle_rmse
arousal,0,5,base,completed,1.0264744748338128,True,True,True,True,True,/nas/longleaf/home/inserra/EEGProc/runs/typicality/arousal_suite1599318_subject0_20260920_123351/subject_0/subject_0/trial_5/base/attempt_0001,1.01631498336792,0.9422534704208374,0.5693475604057312,0.3318856537181112,0.6114066076631034,0.25427743792533875,0.9720692038536072,31208478.0,0.24032121896743774,0.0,32,32,target_reached,,2,4,5,False,False,True,False,0.5169650316238403,1.0060334205627441,0.35377174615859985,1.0185325145721436,True,0.09949427843093872,0.45510417222976685,0.6219885945320129,0.7985985279083252
arousal,0,5,typicality,completed,1.0264744748338128,True,True,True,True,True,/nas/longleaf/home/inserra/EEGProc/runs/typicality/arousal_suite1599318_subject0_20260920_123351/subject_0/subject_0/trial_5/typicality/attempt_0001,1.01631498336792,0.7650033235549927,1.4255248308181763,0.3310201396188608,0.6114066076631034,0.25427743792533875,0.9992620348930359,31208478.0,0.24032121896743774,0.0,200,199,max_steps,,2,4,5,False,False,True,False,0.5549076795578003,0.9967426657676697,0.35377174615859985,1.0185325145721436,True,0.09949427843093872,0.4443543553352356,0.6219885945320129,1.3828926086425781
arousal,0,7,base,completed,1.0264744748338128,True,True,True,True,True,/nas/longleaf/home/inserra/EEGProc/runs/typicality/arousal_suite1599318_subject0_20260920_123351/subject_0/subject_0/trial_7/base/attempt_0001,0.9854936599731445,0.9105156064033508,0.53459632396698,0.32077484955048674,0.6329108974109295,0.37962815165519714,0.9771841764450073,62070808.0,3.2014541625976562,0.0,36,36,target_reached,,1,4,5,False,False,True,False,0.3197881877422333,0.971966564655304,0.47590404748916626,0.9638433456420898,True,0.09627598524093628,0.657395988702774,0.8659415245056152,1.0751322507858276
arousal,0,7,typicality,completed,1.0264744748338128,True,True,True,True,True,/nas/longleaf/home/inserra/EEGProc/runs/typicality/arousal_suite1599318_subject0_20260920_123351/subject_0/subject_0/trial_7/typicality/attempt_0001,0.9854936599731445,0.7631033062934875,1.3142361640930176,0.31876213246985485,0.6329108974109295,0.37962815165519714,0.9993966817855835,62070808.0,3.2014541625976562,0.0,200,199,max_steps,,1,4,5,False,False,True,False,0.2873348593711853,0.9705615043640137,0.47590404748916626,0.9638433456420898,True,0.09627598524093628,0.7120618224143982,0.8659415245056152,1.277164340019226
arousal,0,8,base,completed,1.0264744748338128,True,True,True,True,True,/nas/longleaf/home/inserra/EEGProc/runs/typicality/arousal_suite1599318_subject0_20260920_123351/subject_0/subject_0/trial_8/base/attempt_0001,1.0173143148422241,0.945558488368988,0.5628460049629211,0.24541586654097644,0.5343827553794214,0.2656363248825073,0.9776467680931091,75863624.0,61.56092834472656,0.0,25,25,target_reached,,0,4,5,False,False,True,False,0.49354588985443115,0.9994197487831116,0.5346162915229797,0.9915761947631836,False,0.26897990703582764,0.484100878238678,0.697772204875946,0.8756787180900574
arousal,0,8,typicality,completed,1.0264744748338128,True,True,True,True,True,/nas/longleaf/home/inserra/EEGProc/runs/typicality/arousal_suite1599318_subject0_20260920_123351/subject_0/subject_0/trial_8/typicality/attempt_0001,1.0173143148422241,0.7677509188652039,1.3926124572753906,0.2587154499658589,0.5343827553794214,0.2656363248825073,0.999263346195221,75863624.0,61.56092834472656,0.0,200,199,max_steps,,0,4,5,False,False,True,False,0.4321794807910919,1.005963683128357,0.5346162915229797,0.9915761947631836,False,0.26897990703582764,0.567083865404129,0.697772204875946,1.3601778745651245
arousal,0,15,base,completed,1.0264744748338128,True,True,True,True,True,/nas/longleaf/home/inserra/EEGProc/runs/typicality/arousal_suite1599318_subject0_20260920_123351/subject_0/subject_0/trial_15/base/attempt_0001,0.9924377799034119,0.9515189528465271,0.3940465450286865,0.3390416732228015,0.7252047989417697,0.42576563358306885,0.9403693675994873,98485112.0,0.1267322450876236,0.0,27,27,target_reached,,0,4,5,False,False,True,False,0.4402756094932556,0.9961081743240356,0.2888793349266052,1.0109039545059204,True,-0.1368863582611084,0.5000937581062317,0.558072566986084,0.6615878939628601
arousal,0,15,typicality,completed,1.0264744748338128,True,True,True,True,True,/nas/longleaf/home/inserra/EEGProc/runs/typicality/arousal_suite1599318_subject0_20260920_123351/subject_0/subject_0/trial_15/typicality/attempt_0001,0.9924377799034119,0.7659753561019897,1.3036926984786987,0.3479458213723802,0.7252047989417697,0.42576563358306885,0.99913090467453,98485112.0,0.1267322450876236,0.0,200,199,max_steps,,0,4,5,False,False,True,False,0.32742127776145935,0.9988007545471191,0.2888793349266052,1.0109039545059204,True,-0.1368863582611084,0.6717096269130707,0.558072566986084,1.3265928030014038
arousal,0,16,base,completed,1.0264744748338128,True,True,True,True,True,/nas/longleaf/home/inserra/EEGProc/runs/typicality/arousal_suite1599318_subject0_20260920_123351/subject_0/subject_0/trial_16/base/attempt_0001,1.012266993522644,0.9443092346191406,0.5187389254570007,0.3094355653953907,0.7265033902970643,0.33588671684265137,0.9741048216819763,91091312.0,0.37430405616760254,0.0,27,27,target_reached,,0,4,5,False,False,True,False,0.4114747941493988,1.0233983993530273,0.30885758996009827,1.0295408964157104,True,-0.02702915668487549,0.5626300275325775,0.8439257740974426,0.8750078082084656
arousal,0,16,typicality,completed,1.0264744748338128,True,True,True,True,True,/nas/longleaf/home/inserra/EEGProc/runs/typicality/arousal_suite1599318_subject0_20260920_123351/subject_0/subject_0/trial_16/typicality/attempt_0001,1.012266993522644,0.7703720927238464,1.358044147491455,0.3202822368560842,0.7265033902970643,0.33588671684265137,0.9988759160041809,91091312.0,0.37430405616760254,0.0,200,199,max_steps,,0,4,5,False,False,True,False,0.3649914860725403,1.0158175230026245,0.30885758996009827,1.0295408964157104,True,-0.02702915668487549,0.6338844299316406,0.8439257740974426,1.3894150257110596
