step,target_loss_component,decoded_distance_reference,learning_rate,total,target,latent,decoded,physiological,weighted_target,weighted_latent,weighted_decoded,weighted_physiological,decoded_joint,target_confidence_component,target_focal_component,target_vc_component,target_vc_latent_posterior_kl,target_vc_discriminator_kl,target_vc_class_prior_kl,typicality,discrepancy,weighted_typicality,predicted_class,target_probability,success,probability_0,probability_1,gradient_norm,low_gradient_steps,physiological_valid,feasible,optimization_stage,typicality_no_improvement_steps,typicality_threshold,typical,optimization_success,decoder_latent_rmse,d_z,delta_dec_joint,selected_step_so_far
0,confidence,original_reconstruction,0.01,3.946873664855957,0.7454196214675903,0.0,0.0,3.2014541625976562,0.7454196214675903,0.0,0.0,3.2014541625976562,0.0,0.7454196214675903,1.2017385959625244,0.03464368358254433,0.0,0.0,0.03464368358254433,0.9600761532783508,0.9854936599731445,0.0,0,0.37962815165519714,False,0.6203718781471252,0.37962815165519714,8.500874519348145,0,False,False,target,0,1.0264744748338128,True,False,0.0,0.0,0.0,0
1,confidence,original_reconstruction,0.01,6197.7861328125,0.33100587129592896,9.762483387021348e-05,0.009549506939947605,6197.4541015625,0.33100587129592896,9.762483387021348e-06,0.0009549506939947605,6197.4541015625,0.009549506939947605,0.33100587129592896,0.4715137779712677,0.03464368358254433,0.0,0.0,0.03464368358254433,0.946475625038147,0.9715330600738525,0.0,1,0.5745607614517212,False,0.4254392683506012,0.5745607614517212,5531.853515625,0,False,False,target,0,1.0264744748338128,True,False,0.00988052785396576,0.09651712328195572,0.09772157669067383,0
2,confidence,original_reconstruction,0.01,216.38360595703125,0.1545223444700241,0.00020423810929059982,0.016430048272013664,216.2274169921875,0.1545223444700241,2.0423811292857863e-05,0.0016430048272013664,216.2274169921875,0.016430048272013664,0.1545223444700241,0.23758243024349213,0.03464368358254433,0.0,0.0,0.03464368358254433,0.9382200241088867,0.9630588889122009,0.0,1,0.6854594945907593,False,0.3145405650138855,0.6854594945907593,195.60121154785156,0,False,False,target,0,1.0264744748338128,True,False,0.0142911896109581,0.15475377440452576,0.12817974388599396,0
3,confidence,original_reconstruction,0.01,13.194819450378418,0.058141276240348816,0.0003222648228984326,0.02140277810394764,13.134505271911621,0.058141276240348816,3.222648228984326e-05,0.002140277763828635,13.134505271911621,0.02140277810394764,0.058141276240348816,0.1379345804452896,0.03464368358254433,0.0,0.0,0.03464368358254433,0.9321959018707275,0.9568753242492676,0.0,1,0.7548133134841919,False,0.24518665671348572,0.7548133134841919,8.054095268249512,0,False,False,target,0,1.0264744748338128,True,False,0.017951736226677895,0.1975179761648178,0.146296888589859,0
4,confidence,original_reconstruction,0.01,85.91615295410156,0.0,0.00045345971011556685,0.026289882138371468,85.9134750366211,0.0,4.534597246674821e-05,0.002628988353535533,85.9134750366211,0.026289882138371468,0.0,0.07234343141317368,0.03464368358254433,0.0,0.0,0.03464368358254433,0.9255433678627014,0.9500466585159302,0.0,1,0.8189257979393005,True,0.18107418715953827,0.8189257979393005,394.140380859375,0,False,False,target,0,1.0264744748338128,True,False,0.021294593811035156,0.2449180632829666,0.16214154660701752,0
5,confidence,original_reconstruction,0.01,1.8633785247802734,0.0,0.0005921954871155322,0.03342306241393089,1.8599770069122314,0.0,5.921955016674474e-05,0.0033423062413930893,1.8599770069122314,0.03342306241393089,0.0,0.04207494482398033,0.03464368358254433,0.0,0.0,0.03464368358254433,0.9201971292495728,0.94455885887146,0.0,1,0.8602480888366699,True,0.1397518813610077,0.8602480888366699,2.2413785457611084,0,False,False,target,0,1.0264744748338128,True,False,0.024335067719221115,0.2834088206291199,0.18281975388526917,5
6,confidence,original_reconstruction,0.01,1.6908788681030273,0.0,0.0007364450138993561,0.04003072530031204,1.6868021488189697,0.0,7.364449993474409e-05,0.004003072623163462,1.6868021488189697,0.04003072530031204,0.0,0.02666482701897621,0.03464368358254433,0.0,0.0,0.03464368358254433,0.9158594608306885,0.9401063323020935,0.0,1,0.8878830671310425,True,0.11211691796779633,0.8878830671310425,2.028017282485962,0,False,False,target,0,1.0264744748338128,True,False,0.027137519791722298,0.31511756777763367,0.20007680356502533,6
7,confidence,original_reconstruction,0.01,0.4295006990432739,0.0,0.0008823241223581135,0.04493006318807602,0.424919456243515,0.0,8.823241660138592e-05,0.004493006505072117,0.424919456243515,0.04493006318807602,0.0,0.018079668283462524,0.03464368358254433,0.0,0.0,0.03464368358254433,0.9122266173362732,0.9363773465156555,0.0,1,0.9071908593177795,True,0.09280911087989807,0.9071908593177795,0.7736775875091553,0,False,False,target,0,1.0264744748338128,True,False,0.029703941196203232,0.34182852506637573,0.2119671255350113,7
8,confidence,original_reconstruction,0.01,0.26249030232429504,0.0,0.0010308243799954653,0.04936527460813522,0.2574506998062134,0.0,0.0001030824423651211,0.004936527460813522,0.2574506998062134,0.04936527460813522,0.0,0.012937935069203377,0.03464368358254433,0.0,0.0,0.03464368358254433,0.9091378450393677,0.9332067966461182,0.0,1,0.9211927652359009,True,0.0788072794675827,0.9211927652359009,0.5143636465072632,0,False,False,target,0,1.0264744748338128,True,False,0.03210645169019699,0.36464929580688477,0.2221829742193222,8
9,confidence,original_reconstruction,0.01,0.22956694662570953,0.0,0.0011784116504713893,0.054066769778728485,0.22404243052005768,0.0,0.0001178411694127135,0.005406677257269621,0.22404243052005768,0.054066769778728485,0.0,0.009689653292298317,0.03464368358254433,0.0,0.0,0.03464368358254433,0.9064923524856567,0.9304912686347961,0.0,1,0.9316099286079407,True,0.06839005649089813,0.9316099286079407,0.533555805683136,0,False,False,target,0,1.0264744748338128,True,False,0.034327998757362366,0.3843275308609009,0.2325226217508316,9
10,confidence,original_reconstruction,0.01,0.10283496230840683,0.0,0.0013225235743448138,0.05894692987203598,0.09680801630020142,0.0,0.00013225236034486443,0.0058946930803358555,0.09680801630020142,0.05894692987203598,0.0,0.007525135297328234,0.03464368358254433,0.0,0.0,0.03464368358254433,0.9042119383811951,0.928150475025177,0.0,1,0.9396032691001892,True,0.060396771878004074,0.9396032691001892,0.20506791770458221,0,False,False,target,0,1.0264744748338128,True,False,0.03636651858687401,0.4015355408191681,0.24278989434242249,10
11,confidence,original_reconstruction,0.01,0.1822165697813034,0.0,0.0014622376766055822,0.06348846852779388,0.17572149634361267,0.0,0.00014622377057094127,0.006348846945911646,0.17572149634361267,0.06348846852779388,0.0,0.006034652702510357,0.03464368358254433,0.0,0.0,0.03464368358254433,0.902226984500885,0.926112949848175,0.0,1,0.9458258748054504,True,0.054174091666936874,0.9458258748054504,0.2751173675060272,0,False,False,target,0,1.0264744748338128,True,False,0.038239214569330215,0.41650107502937317,0.25196918845176697,10
12,confidence,original_reconstruction,0.01,0.22128313779830933,0.0,0.001596238580532372,0.06754781305789948,0.21436873078346252,0.0,0.0001596238580532372,0.00675478158518672,0.21436873078346252,0.06754781305789948,0.0,0.004966259002685547,0.03464368358254433,0.0,0.0,0.03464368358254433,0.9004964828491211,0.9243366718292236,0.0,1,0.95079106092453,True,0.049208901822566986,0.95079106092453,0.3994861841201782,0,False,False,target,0,1.0264744748338128,True,False,0.03995295241475105,0.42970409989356995,0.2598996162414551,10
