step,total,target,latent,decoded,physiological,weighted_target,weighted_latent,weighted_decoded,weighted_physiological,decoded_gcn_gru,decoded_bilstm,predicted_class,target_probability,success,probability_0,probability_1,gradient_norm
0,0.2684045135974884,0.19120699167251587,0.0,0.7719751596450806,0.0,0.19120699167251587,0.0,0.07719751447439194,0.0,0.922655463218689,0.6212949156761169,1,0.495576947927475,False,0.495576947927475,0.5044230222702026,0.009024924598634243
1,0.20349405705928802,0.1351516842842102,0.07652152329683304,0.6069022417068481,0.0,0.1351516842842102,0.007652152329683304,0.060690224170684814,0.0,0.7120221257209778,0.5017822980880737,0,0.5241500735282898,False,0.5241500735282898,0.4758499562740326,0.001323091797530651
2,0.1983434408903122,0.12065321207046509,0.21361088752746582,0.5632914900779724,0.0,0.12065321207046509,0.021361088380217552,0.0563291497528553,0.0,0.7196382284164429,0.40694478154182434,0,0.5318048000335693,False,0.5318048000335693,0.4681951701641083,0.0005212812684476376
3,0.20115715265274048,0.11580878496170044,0.3638407588005066,0.489642858505249,0.0,0.11580878496170044,0.03638407588005066,0.04896428808569908,0.0,0.6331747770309448,0.34611091017723083,0,0.5343872904777527,False,0.5343872904777527,0.4656126797199249,0.00026914733462035656
4,0.209763765335083,0.11428290605545044,0.5125136375427246,0.4422948956489563,0.0,0.11428290605545044,0.0512513630092144,0.04422948881983757,0.0,0.5735802054405212,0.31100961565971375,0,0.5352033972740173,False,0.5352033972740173,0.46479666233062744,0.00029424772947095335
5,0.221278116106987,0.11259639263153076,0.6516794562339783,0.4351377487182617,0.0,0.11259639263153076,0.06516794860363007,0.04351377487182617,0.0,0.580272376537323,0.29000312089920044,0,0.5361067652702332,False,0.5361067652702332,0.463893324136734,0.00019369073561392725
6,0.23181584477424622,0.11167776584625244,0.7730768322944641,0.42830389738082886,0.0,0.11167776584625244,0.07730768620967865,0.042830388993024826,0.0,0.5818797945976257,0.274728000164032,0,0.5365994572639465,False,0.5365994572639465,0.4634005129337311,0.0002086804888676852
7,0.2391662746667862,0.11094260215759277,0.871659517288208,0.4105772376060486,0.0,0.11094260215759277,0.0871659517288208,0.04105772450566292,0.0,0.5589569211006165,0.2621975541114807,0,0.5369940996170044,False,0.5369940996170044,0.463005930185318,0.00015815175720490515
8,0.24450047314167023,0.11047816276550293,0.9469722509384155,0.3932507634162903,0.0,0.11047816276550293,0.09469722956418991,0.03932507708668709,0.0,0.5335252285003662,0.25297632813453674,0,0.5372435450553894,False,0.5372435450553894,0.4627564549446106,0.00016418260929640383
9,0.24847033619880676,0.10997259616851807,1.0002106428146362,0.38476669788360596,0.0,0.10997259616851807,0.10002106428146362,0.038476672023534775,0.0,0.5209894776344299,0.2485439032316208,0,0.5375152230262756,False,0.5375152230262756,0.46248477697372437,0.00017996456881519407
10,0.251363068819046,0.10962176322937012,1.0332962274551392,0.38411664962768555,0.0,0.10962176322937012,0.1033296212553978,0.038411665707826614,0.0,0.5187405943870544,0.24949270486831665,0,0.5377038717269897,False,0.5377038717269897,0.46229615807533264,0.00018793207709677517
