step,total,target,latent,decoded,physiological,weighted_target,weighted_latent,weighted_decoded,weighted_physiological,decoded_gcn_gru,decoded_bilstm,predicted_class,target_probability,success,probability_0,probability_1,gradient_norm
0,0.1813931167125702,0.10419559478759766,0.0,0.7719751596450806,0.0,0.10419559478759766,0.0,0.07719751447439194,0.0,0.922655463218689,0.6212949156761169,1,0.495576947927475,False,0.495576947927475,0.5044230222702026,0.009024924598634243
1,0.1164618507027626,0.045388877391815186,0.003060860326513648,0.7076689004898071,0.0,0.045388877391815186,0.0003060860326513648,0.0707668885588646,0.0,0.8220630288124084,0.593274712562561,0,0.525594174861908,False,0.525594174861908,0.47440576553344727,0.0028950923588126898
2,0.09708452224731445,0.030535519123077393,0.009468231350183487,0.656021773815155,0.0,0.030535519123077393,0.0009468231583014131,0.06560217589139938,0.0,0.7534207105636597,0.5586228370666504,0,0.5334593057632446,False,0.5334593057632446,0.46654069423675537,0.0012207775143906474
3,0.08935096114873886,0.026190757751464844,0.018307991325855255,0.6132940053939819,0.0,0.026190757751464844,0.0018307991558685899,0.06132940202951431,0.0,0.7042288780212402,0.5223591923713684,0,0.5357820987701416,False,0.5357820987701416,0.4642179012298584,0.0008075010846368968
4,0.08391278982162476,0.023027896881103516,0.028838826343417168,0.5800101161003113,0.0,0.023027896881103516,0.0028838827274739742,0.05800101161003113,0.0,0.6728483438491821,0.48717185854911804,0,0.5374794006347656,False,0.5374794006347656,0.46252062916755676,0.0005034335190430284
5,0.08110058307647705,0.021691560745239258,0.04048110917210579,0.5536090731620789,0.0,0.021691560745239258,0.004048110917210579,0.055360909551382065,0.0,0.6527782678604126,0.4544399082660675,0,0.5381981134414673,False,0.5381981134414673,0.4618018567562103,0.0004719091230072081
6,0.07917223125696182,0.020831942558288574,0.05268014594912529,0.5307227373123169,0.0,0.020831942558288574,0.0052680145017802715,0.05307227373123169,0.0,0.636643648147583,0.424801766872406,0,0.5386609435081482,False,0.5386609435081482,0.4613390266895294,0.00041687829070724547
7,0.07743550837039948,0.020036399364471436,0.06500768661499023,0.5089834332466125,0.0,0.020036399364471436,0.006500768940895796,0.050898343324661255,0.0,0.6194286942481995,0.39853817224502563,0,0.5390896201133728,False,0.5390896201133728,0.4609103202819824,0.0003218229685444385
8,0.07589773088693619,0.01941591501235962,0.07720144838094711,0.4876166880130768,0.0,0.01941591501235962,0.007720144931226969,0.04876166954636574,0.0,0.5996216535568237,0.37561172246932983,0,0.5394243001937866,False,0.5394243001937866,0.46057572960853577,0.0002865609130822122
9,0.07456168532371521,0.018931925296783447,0.0891161784529686,0.46718138456344604,0.0,0.018931925296783447,0.008911618031561375,0.046718139201402664,0.0,0.5785355567932129,0.3558272123336792,0,0.5396853685379028,False,0.5396853685379028,0.4603145718574524,0.0002525394666008651
10,0.07350718975067139,0.018559932708740234,0.10067839920520782,0.4487941861152649,0.0,0.018559932708740234,0.010067840106785297,0.04487941786646843,0.0,0.5586926937103271,0.338895708322525,0,0.5398861765861511,False,0.5398861765861511,0.4601137936115265,0.0002463205310050398
