step,target_loss_component,learning_rate,total,target,latent,decoded,physiological,weighted_target,weighted_latent,weighted_decoded,weighted_physiological,decoded_joint,target_confidence_component,target_focal_component,target_vc_component,target_vc_latent_posterior_kl,target_vc_discriminator_kl,target_vc_class_prior_kl,predicted_class,target_probability,success,probability_0,probability_1,gradient_norm
0,confidence,0.5,1.130893349647522,0.6727138161659241,0.0,0.5031468272209167,4.078649044036865,0.6727138161659241,0.0,0.050314683467149734,0.40786489844322205,0.5031468272209167,0.6727138161659241,1.6422955989837646,0.0,0.0,0.0,0.0,0,0.306193083524704,False,0.6938069462776184,0.306193083524704,0.9725413918495178
1,confidence,0.5,3.9633188247680664,0.0,0.20191705226898193,2.06524395942688,37.36602783203125,0.0,0.020191704854369164,0.20652440190315247,3.736602783203125,2.06524395942688,0.0,1.6445657138319802e-06,0.0,0.0,0.0,0.0,1,0.9990934133529663,True,0.0009065899066627026,0.9990934133529663,0.06375235319137573
2,confidence,0.5,1.102823257446289,0.0,0.5407103300094604,3.914743661880493,6.572778224945068,0.0,0.054071035236120224,0.3914743661880493,0.6572778224945068,3.914743661880493,0.0,1.6432693428214407e-06,0.0,0.0,0.0,0.0,1,0.999093770980835,True,0.0009062790195457637,0.999093770980835,0.014153127558529377
3,confidence,0.5,0.9142829775810242,0.0,0.9415478706359863,5.866387367248535,2.3348944187164307,0.0,0.09415479004383087,0.5866387486457825,0.23348943889141083,5.866387367248535,0.0,1.7816122408476076e-06,0.0,0.0,0.0,0.0,1,0.9990563988685608,True,0.0009436264517717063,0.9990563988685608,0.004872026853263378
4,confidence,0.5,1.0599067211151123,0.0,1.362168312072754,7.755406856536865,1.481492042541504,0.0,0.13621683418750763,0.7755407094955444,0.14814920723438263,7.755406856536865,0.0,1.8822970559995156e-06,0.0,0.0,0.0,0.0,1,0.9990301132202148,True,0.0009699442307464778,0.9990301132202148,0.0034361088182777166
5,confidence,0.5,1.234940528869629,0.0,1.7814126014709473,9.47817325592041,1.089819312095642,0.0,0.1781412661075592,0.947817325592041,0.10898192971944809,9.47817325592041,0.0,1.9570027234294685e-06,0.0,0.0,0.0,0.0,1,0.9990110397338867,True,0.0009889727225527167,0.9990110397338867,0.0030605585779994726
6,confidence,0.5,1.3969281911849976,0.0,2.1882107257843018,10.985017776489258,0.796053946018219,0.0,0.21882107853889465,1.0985018014907837,0.07960539311170578,10.985017776489258,0.0,2.0148224848526297e-06,0.0,0.0,0.0,0.0,1,0.9989965558052063,True,0.0010034751612693071,0.9989965558052063,0.0028286112938076258
7,confidence,0.5,1.5421628952026367,0.0,2.5765278339385986,12.257678985595703,0.5874210596084595,0.0,0.25765278935432434,1.225767970085144,0.05874210596084595,12.257678985595703,0.0,2.0610063984349836e-06,0.0,0.0,0.0,0.0,1,0.9989851117134094,True,0.0010149127338081598,0.9989851117134094,0.002543296432122588
8,confidence,0.5,1.668174147605896,0.0,2.9430596828460693,13.298238754272461,0.4404436945915222,0.0,0.2943059802055359,1.3298238515853882,0.0440443716943264,13.298238754272461,0.0,2.098794084304245e-06,0.0,0.0,0.0,0.0,1,0.9989758729934692,True,0.001024112687446177,0.9989758729934692,0.002477433066815138
9,confidence,0.5,1.7734483480453491,0.0,3.2861595153808594,14.114401817321777,0.33392101526260376,0.0,0.3286159634590149,1.4114402532577515,0.033392101526260376,14.114401817321777,0.0,2.1296648355928482e-06,0.0,0.0,0.0,0.0,1,0.9989683628082275,True,0.001031641149893403,0.9989683628082275,0.002446648897603154
10,confidence,0.5,1.857600212097168,0.0,3.6052629947662354,14.717386245727539,0.2533515691757202,0.0,0.36052629351615906,1.4717386960983276,0.02533515729010105,14.717386245727539,0.0,2.1558096250373637e-06,0.0,0.0,0.0,0.0,1,0.9989620447158813,True,0.0010379028972238302,0.9989620447158813,0.002417477546259761
