epoch,accuracy,base_total_loss,loss,predicted_class_0_fraction,predicted_class_1_fraction,regularization_loss,true_class_0_fraction,true_class_1_fraction,vc_class_prior_kl,vc_cross_entropy,vc_discriminator_kl,vc_discriminator_loss,vc_latent_kl,vc_loss,weighted_vc_class_prior_kl,weighted_vc_cross_entropy,weighted_vc_discriminator_kl,weighted_vc_latent_kl,val_accuracy,val_base_total_loss,val_loss,val_predicted_class_0_fraction,val_predicted_class_1_fraction,val_regularization_loss,val_true_class_0_fraction,val_true_class_1_fraction,val_vc_class_prior_kl,val_vc_cross_entropy,val_vc_discriminator_kl,val_vc_discriminator_loss,val_vc_latent_kl,val_vc_loss,val_weighted_vc_class_prior_kl,val_weighted_vc_cross_entropy,val_weighted_vc_discriminator_kl,val_weighted_vc_latent_kl
0,0.4994736313819885,0.6934983730316162,0.6939562559127808,0.9130434989929199,0.08695652335882187,0.0004579808155540377,0.2753623127937317,0.7246376872062683,0.18840520083904266,0.6934983730316162,0.20750410854816437,0.0,0.6433972120285034,0.6934983730316162,0.0,0.6934983730316162,0.0,0.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,0.5462281703948975,0.6929893493652344,0.6934471130371094,0.748792290687561,0.25120773911476135,0.0004578593070618808,0.2753623127937317,0.7246376872062683,0.1879308521747589,0.6929893493652344,0.22127367556095123,0.0,0.627090573310852,0.6929893493652344,0.0,0.6929893493652344,0.0,0.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,0.5572807788848877,0.692531943321228,0.692989706993103,0.5748792290687561,0.4251207709312439,0.0004577245854306966,0.2753623127937317,0.7246376872062683,0.18751011788845062,0.692531943321228,0.23952558636665344,0.0,0.631686270236969,0.692531943321228,0.0,0.692531943321228,0.0,0.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,0.5740351676940918,0.6919617056846619,0.6924194693565369,0.45410627126693726,0.5458937287330627,0.0004575997591018677,0.2753623127937317,0.7246376872062683,0.18709364533424377,0.6919617056846619,0.2447950541973114,0.0,0.6203477382659912,0.6919617056846619,0.0,0.6919617056846619,0.0,0.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4,0.5764912962913513,0.6917413473129272,0.6921990513801575,0.41545894742012024,0.5845410823822021,0.00045749545097351074,0.2753623127937317,0.7246376872062683,0.1866808980703354,0.6917413473129272,0.2635819911956787,0.0,0.6100673675537109,0.6917413473129272,0.0,0.6917413473129272,0.0,0.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5,0.572894811630249,0.6910924911499023,0.6915501952171326,0.37681159377098083,0.6231883764266968,0.00045738418702967465,0.2753623127937317,0.7246376872062683,0.1862720549106598,0.6910924911499023,0.26400578022003174,0.0,0.6115567088127136,0.6910924911499023,0.0,0.6910924911499023,0.0,0.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6,0.5718421339988708,0.690861165523529,0.6913188099861145,0.3695652186870575,0.6304348111152649,0.00045727609540335834,0.2753623127937317,0.7246376872062683,0.1858663707971573,0.690861165523529,0.2296595275402069,0.0,0.600142240524292,0.690861165523529,0.0,0.690861165523529,0.0,0.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7,0.5791228413581848,0.6898930668830872,0.6903505325317383,0.3502415418624878,0.6497584581375122,0.00045717068132944405,0.2753623127937317,0.7246376872062683,0.1854638159275055,0.6898930668830872,0.23283161222934723,0.0,0.5829647779464722,0.6898930668830872,0.0,0.6898930668830872,0.0,0.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8,0.5978948473930359,0.6888512969017029,0.6893087029457092,0.34057971835136414,0.6594203114509583,0.00045706357923336327,0.2753623127937317,0.7246376872062683,0.18506267666816711,0.6888512969017029,0.2151206135749817,0.0,0.5551174879074097,0.6888512969017029,0.0,0.6888512969017029,0.0,0.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9,0.5972808599472046,0.688188910484314,0.6886462569236755,0.3502415418624878,0.6497584581375122,0.0004569720767904073,0.2753623127937317,0.7246376872062683,0.18466225266456604,0.688188910484314,0.2130768597126007,0.0,0.5434072017669678,0.688188910484314,0.0,0.688188910484314,0.0,0.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10,0.5872809290885925,0.6870884299278259,0.6875457763671875,0.3647342920303345,0.6352657079696655,0.00045689541730098426,0.2753623127937317,0.7246376872062683,0.18426229059696198,0.6870884299278259,0.1900799423456192,0.0,0.521411120891571,0.6870884299278259,0.0,0.6870884299278259,0.0,0.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11,0.6119299530982971,0.6846896409988403,0.6851466298103333,0.38164252042770386,0.6183574795722961,0.00045682641211897135,0.2753623127937317,0.7246376872062683,0.18386079370975494,0.6846896409988403,0.1944216638803482,0.0,0.48833781480789185,0.6846896409988403,0.0,0.6846896409988403,0.0,0.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12,0.6307017803192139,0.6836422681808472,0.6840988397598267,0.3719806671142578,0.6280193328857422,0.00045678034075535834,0.2753623127937317,0.7246376872062683,0.18345580995082855,0.6836422681808472,0.18296609818935394,0.0,0.48683613538742065,0.6836422681808472,0.0,0.6836422681808472,0.0,0.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
13,0.5960527658462524,0.6820589900016785,0.6825154423713684,0.3695652186870575,0.6304348111152649,0.00045672839041799307,0.2753623127937317,0.7246376872062683,0.18304990231990814,0.6820589900016785,0.1917143166065216,0.0,0.46211373805999756,0.6820589900016785,0.0,0.6820589900016785,0.0,0.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
14,0.6302632093429565,0.6797888278961182,0.6802451610565186,0.3550724685192108,0.6449275612831116,0.000456673267763108,0.2753623127937317,0.7246376872062683,0.18264032900333405,0.6797888278961182,0.16251151263713837,0.0,0.4527509808540344,0.6797888278961182,0.0,0.6797888278961182,0.0,0.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
15,0.6258773803710938,0.6782090067863464,0.6786654591560364,0.3526569902896881,0.6473429799079895,0.0004566384304780513,0.2753623127937317,0.7246376872062683,0.1822262704372406,0.6782090067863464,0.17953254282474518,0.0,0.44416284561157227,0.6782090067863464,0.0,0.6782090067863464,0.0,0.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
16,0.6538598537445068,0.6753036975860596,0.67576003074646,0.3647342920303345,0.6352657079696655,0.0004566232964862138,0.2753623127937317,0.7246376872062683,0.18180640041828156,0.6753036975860596,0.1572161614894867,0.0,0.44328781962394714,0.6753036975860596,0.0,0.6753036975860596,0.0,0.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
17,0.6145614981651306,0.6737935543060303,0.6742500066757202,0.3164251148700714,0.6835748553276062,0.00045660516479983926,0.2753623127937317,0.7246376872062683,0.18137982487678528,0.6737935543060303,0.16544486582279205,0.0,0.4745720326900482,0.6737935543060303,0.0,0.6737935543060303,0.0,0.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
18,0.6358771920204163,0.6721208095550537,0.6725773215293884,0.33816424012184143,0.6618357300758362,0.00045659078750759363,0.2753623127937317,0.7246376872062683,0.1809503436088562,0.6721208095550537,0.1572827249765396,0.0,0.45236286520957947,0.6721208095550537,0.0,0.6721208095550537,0.0,0.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
19,0.6229826211929321,0.6730775833129883,0.673534095287323,0.3743961453437805,0.6256038546562195,0.0004565783601719886,0.2753623127937317,0.7246376872062683,0.1805187165737152,0.6730775833129883,0.16506077349185944,0.0,0.46292299032211304,0.6730775833129883,0.0,0.6730775833129883,0.0,0.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20,0.6364912986755371,0.6695507764816284,0.6700071692466736,0.3285024166107178,0.6714975833892822,0.00045657611917704344,0.2753623127937317,0.7246376872062683,0.18008853495121002,0.6695507764816284,0.16002939641475677,0.0,0.48250290751457214,0.6695507764816284,0.0,0.6695507764816284,0.0,0.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
21,0.63921058177948,0.6672776341438293,0.6677340269088745,0.3333333432674408,0.6666666865348816,0.0004565719864331186,0.2753623127937317,0.7246376872062683,0.17965343594551086,0.6672776341438293,0.15686242282390594,0.0,0.472200870513916,0.6672776341438293,0.0,0.6672776341438293,0.0,0.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
