config_index,is_selected,selection_level,selection_metric,selection_score,selection_score_std,n_folds,config,window_joint_loss_mean,window_joint_loss_std,trial_loss_mean,trial_joint_loss_mean,trial_accuracy_mean,trial_f1_mean,trial_precision_mean,trial_recall_mean,trial_loss_std,trial_joint_loss_std,trial_accuracy_std,trial_f1_std,trial_precision_std,trial_recall_std,window_decoder_accuracy_mean,window_decoder_accuracy_std,trial_decoder_accuracy_mean,trial_decoder_accuracy_std
0,0,trial,f1,0.41988250552796497,0.1325296181900347,23,"{""activation"": ""relu"", ""ae_loss_weight"": 0.0, ""batch_size"": 8, ""bilstm_dropout"": 0.2, ""bilstm_layers"": 1, ""bilstm_units"": 128, ""dropout"": 0.1, ""emb_dim"": 32, ""epochs"": 300, ""gcn_units"": [64, 32], ""learning_rate"": 0.0001, ""t_down"": 2, ""temporal_pool_sizes"": [2], ""use_batch_norm"": false, ""vae_beta"": 0.3, ""vc_alpha"": 1.0, ""vc_beta"": 0.0, ""vc_gamma"": 0.0, ""vc_lambda"": 0.0, ""vc_loss_weight"": 1.0}",0.7710443268651548,0.22529021679567682,0.7567636595977882,0.7710443268651548,0.5507246376811593,0.41988250552796497,0.46740753740434055,0.5001928076896107,0.19040934744622204,0.22529021679567682,0.18088546112897638,0.1325296181900347,0.16212690799207968,0.1136215602484661,,,,
1,0,trial,f1,0.38375931169419103,0.11778573593364206,23,"{""activation"": ""relu"", ""ae_loss_weight"": 0.0, ""batch_size"": 8, ""bilstm_dropout"": 0.2, ""bilstm_layers"": 1, ""bilstm_units"": 128, ""dropout"": 0.1, ""emb_dim"": 32, ""epochs"": 300, ""gcn_units"": [64, 32], ""learning_rate"": 0.0001, ""t_down"": 2, ""temporal_pool_sizes"": [2], ""use_batch_norm"": true, ""vae_beta"": 0.3, ""vc_alpha"": 1.0, ""vc_beta"": 0.0, ""vc_gamma"": 0.0, ""vc_lambda"": 0.0, ""vc_loss_weight"": 1.0}",0.7016686861929686,0.1044686772173536,0.7013387633051293,0.7016686861929686,0.5821256038647343,0.38375931169419103,0.4079532537652742,0.4741726197928244,0.08844540395126861,0.1044686772173536,0.21414647593528022,0.11778573593364206,0.1705823483087325,0.0970322683171751,,,,
2,1,trial,f1,0.473890342763815,0.13335094497884536,23,"{""activation"": ""relu"", ""ae_loss_weight"": 0.0, ""batch_size"": 8, ""bilstm_dropout"": 0.2, ""bilstm_layers"": 1, ""bilstm_units"": 128, ""dropout"": 0.1, ""emb_dim"": 32, ""epochs"": 300, ""gcn_units"": [64, 32], ""learning_rate"": 0.0001, ""t_down"": 2, ""temporal_pool_sizes"": [2], ""use_batch_norm"": false, ""vae_beta"": 0.3, ""vc_alpha"": 1.0, ""vc_beta"": 0.0, ""vc_gamma"": 0.0, ""vc_lambda"": 0.1, ""vc_loss_weight"": 1.0}",0.7548714409703794,0.12475739480145698,0.7138619421244929,0.7548714409703794,0.6086956521739132,0.473890342763815,0.5580816579697655,0.5227473985945853,0.10902672909528384,0.12475739480145698,0.16339646884336004,0.13335094497884536,0.19759120948407816,0.14075435339159661,,,,
3,0,trial,f1,0.39281347500584946,0.15217557958565528,23,"{""activation"": ""relu"", ""ae_loss_weight"": 0.0, ""batch_size"": 8, ""bilstm_dropout"": 0.2, ""bilstm_layers"": 1, ""bilstm_units"": 128, ""dropout"": 0.1, ""emb_dim"": 32, ""epochs"": 300, ""gcn_units"": [64, 32], ""learning_rate"": 0.0001, ""t_down"": 2, ""temporal_pool_sizes"": [2], ""use_batch_norm"": true, ""vae_beta"": 0.3, ""vc_alpha"": 1.0, ""vc_beta"": 0.0, ""vc_gamma"": 0.0, ""vc_lambda"": 0.1, ""vc_loss_weight"": 1.0}",0.7535268897595613,0.1196002009676335,0.7363396379121123,0.7535268897595613,0.5314009661835748,0.39281347500584946,0.40573102302641945,0.47892439331058256,0.10687097209620626,0.1196002009676335,0.21159751172053892,0.15217557958565528,0.1882235597991563,0.13219219655401612,,,,
4,0,trial,f1,0.4213661999597228,0.11340562365436922,23,"{""activation"": ""relu"", ""ae_loss_weight"": 0.0, ""batch_size"": 8, ""bilstm_dropout"": 0.2, ""bilstm_layers"": 1, ""bilstm_units"": 128, ""dropout"": 0.1, ""emb_dim"": 32, ""epochs"": 300, ""gcn_units"": [64, 32], ""learning_rate"": 0.0001, ""t_down"": 2, ""temporal_pool_sizes"": [2], ""use_batch_norm"": false, ""vae_beta"": 0.3, ""vc_alpha"": 1.0, ""vc_beta"": 0.2, ""vc_gamma"": 0.0, ""vc_lambda"": 0.0, ""vc_loss_weight"": 1.0}",1.0217392885166665,0.20582653722762728,0.69236977580789,1.0217392885166665,0.6280193236714977,0.4213661999597228,0.4551273942738137,0.5000958121162725,0.008030843626923311,0.20582653722762728,0.21822170974135713,0.11340562365436922,0.18701712778319163,0.09725922704609953,,,,
5,0,trial,f1,0.3900491261983784,0.09883791403580348,23,"{""activation"": ""relu"", ""ae_loss_weight"": 0.0, ""batch_size"": 8, ""bilstm_dropout"": 0.2, ""bilstm_layers"": 1, ""bilstm_units"": 128, ""dropout"": 0.1, ""emb_dim"": 32, ""epochs"": 300, ""gcn_units"": [64, 32], ""learning_rate"": 0.0001, ""t_down"": 2, ""temporal_pool_sizes"": [2], ""use_batch_norm"": true, ""vae_beta"": 0.3, ""vc_alpha"": 1.0, ""vc_beta"": 0.2, ""vc_gamma"": 0.0, ""vc_lambda"": 0.0, ""vc_loss_weight"": 1.0}",1.2062996936881023,0.2702084566554358,0.6947217245511018,1.2062996936881023,0.5966183574879226,0.3900491261983784,0.38147060207482203,0.48412547242470516,0.0066210483715019725,0.2702084566554358,0.21870243370850626,0.09883791403580348,0.11919333929358658,0.05465921407639413,,,,
6,0,trial,f1,0.41730846793342535,0.11392550597866248,23,"{""activation"": ""relu"", ""ae_loss_weight"": 0.0, ""batch_size"": 8, ""bilstm_dropout"": 0.2, ""bilstm_layers"": 1, ""bilstm_units"": 128, ""dropout"": 0.1, ""emb_dim"": 32, ""epochs"": 300, ""gcn_units"": [64, 32], ""learning_rate"": 0.0001, ""t_down"": 2, ""temporal_pool_sizes"": [2], ""use_batch_norm"": false, ""vae_beta"": 0.3, ""vc_alpha"": 1.0, ""vc_beta"": 0.2, ""vc_gamma"": 0.0, ""vc_lambda"": 0.1, ""vc_loss_weight"": 1.0}",1.1377646897150122,0.24767224694167947,0.692616996131959,1.1377646897150122,0.6352657004830918,0.41730846793342535,0.39382468199603754,0.49327090215837016,0.00707030681377072,0.24767224694167947,0.20119482534259708,0.11392550597866248,0.15898671797338423,0.07715256413753584,,,,
7,0,trial,f1,0.39182512201414144,0.11485513967087507,23,"{""activation"": ""relu"", ""ae_loss_weight"": 0.0, ""batch_size"": 8, ""bilstm_dropout"": 0.2, ""bilstm_layers"": 1, ""bilstm_units"": 128, ""dropout"": 0.1, ""emb_dim"": 32, ""epochs"": 300, ""gcn_units"": [64, 32], ""learning_rate"": 0.0001, ""t_down"": 2, ""temporal_pool_sizes"": [2], ""use_batch_norm"": true, ""vae_beta"": 0.3, ""vc_alpha"": 1.0, ""vc_beta"": 0.2, ""vc_gamma"": 0.0, ""vc_lambda"": 0.1, ""vc_loss_weight"": 1.0}",1.2143871602804766,0.261302558904109,0.6939997111528484,1.2143871602804766,0.5676328502415459,0.39182512201414144,0.39009333945395325,0.4487843518374209,0.00780826091167209,0.261302558904109,0.20848643117913127,0.11485513967087507,0.11877320671608622,0.11494927963080037,,,,
8,0,trial,f1,0.4425615420638746,0.13467413759634725,23,"{""activation"": ""relu"", ""ae_loss_weight"": 0.3, ""batch_size"": 8, ""bilstm_dropout"": 0.2, ""bilstm_layers"": 1, ""bilstm_units"": 128, ""dropout"": 0.1, ""emb_dim"": 32, ""epochs"": 300, ""gcn_units"": [64, 32], ""learning_rate"": 0.0001, ""t_down"": 2, ""temporal_pool_sizes"": [2], ""use_batch_norm"": false, ""vae_beta"": 0.3, ""vc_alpha"": 1.0, ""vc_beta"": 0.0, ""vc_gamma"": 0.0, ""vc_lambda"": 0.0, ""vc_loss_weight"": 1.0}",0.9292513831802036,0.08085263571808271,0.7063397221767022,0.9292513831802036,0.5990338164251208,0.4425615420638746,0.4710489531781092,0.5023721696036274,0.0645446189232056,0.08085263571808271,0.16703383207362774,0.13467413759634725,0.18732491809869944,0.13105528561734994,0.2541284742562667,0.1388428734595083,0.2541284742562667,0.1388428734595083
9,0,trial,f1,0.4177230515220959,0.1474416290049455,23,"{""activation"": ""relu"", ""ae_loss_weight"": 0.3, ""batch_size"": 8, ""bilstm_dropout"": 0.2, ""bilstm_layers"": 1, ""bilstm_units"": 128, ""dropout"": 0.1, ""emb_dim"": 32, ""epochs"": 300, ""gcn_units"": [64, 32], ""learning_rate"": 0.0001, ""t_down"": 2, ""temporal_pool_sizes"": [2], ""use_batch_norm"": true, ""vae_beta"": 0.3, ""vc_alpha"": 1.0, ""vc_beta"": 0.0, ""vc_gamma"": 0.0, ""vc_lambda"": 0.0, ""vc_loss_weight"": 1.0}",0.9332770238751951,0.08788758985493286,0.6954071726927904,0.9332770238751951,0.5724637681159419,0.4177230515220959,0.4370948318518651,0.5006865541392396,0.06832839550892848,0.08788758985493286,0.21698835441039332,0.1474416290049455,0.1748051570808765,0.13547936434479227,0.2065698012061741,0.1679598352455083,0.2065698012061741,0.1679598352455083
