target_subject,calibration_shots,calibration_fold,calibration_trial_ids,evaluation_trial_ids,n_calibration_samples,n_evaluation_samples,calibration_epochs_ran,zero_shot_loss,zero_shot_accuracy,zero_shot_f1,zero_shot_precision,zero_shot_recall,zero_shot_macro_f1,zero_shot_macro_precision,zero_shot_macro_recall,zero_shot_balanced_accuracy,zero_shot_roc_auc,zero_shot_brier_score,zero_shot_ece,zero_shot_joint_loss,calibrated_loss,calibrated_accuracy,calibrated_f1,calibrated_precision,calibrated_recall,calibrated_macro_f1,calibrated_macro_precision,calibrated_macro_recall,calibrated_balanced_accuracy,calibrated_roc_auc,calibrated_brier_score,calibrated_ece,calibrated_joint_loss,delta_accuracy,delta_recall,delta_brier_score,delta_loss,delta_macro_f1,delta_joint_loss,delta_precision,delta_macro_recall,delta_ece,delta_roc_auc,delta_balanced_accuracy,delta_macro_precision,delta_f1
0,3,1,"[0, 7, 9]","[2, 3, 4, 5, 6, 8, 10, 11, 12, 14, 16]",180,660,15,0.6895348420865051,0.5681818181818182,0.6433041301627034,0.6781002638522428,0.611904761904762,0.5481395890736742,0.5490145447375092,0.5517857142857143,0.5517857142857143,0.5496924603174603,0.24819345995875208,0.05727413730187855,1.3676940202713013,0.6915751839237643,0.5545454545454546,0.6259541984732825,0.6721311475409836,0.5857142857142857,0.5376962003602368,0.5401472064235531,0.5428571428571429,0.5428571428571429,0.5593849206349206,0.2492119812261339,0.06330351748249752,1.9503754377365112,-0.013636363636363669,-0.02619047619047621,0.0010185212673818056,0.0020403418372592075,-0.010443388713437418,0.58268141746521,-0.005969116311259182,-0.008928571428571397,0.006029380180618965,0.009692460317460294,-0.008928571428571397,-0.008867338313956141,-0.017349931689420894
0,3,2,"[2, 8, 11]","[0, 3, 4, 5, 6, 7, 9, 10, 12, 14, 16]",180,660,15,0.6924246016305728,0.546969696969697,0.619108280254777,0.6657534246575343,0.5785714285714286,0.53011488779094,0.5328767123287672,0.5351190476190476,0.5351190476190476,0.490109126984127,0.24963660552973674,0.040512332591143486,1.4188194274902344,0.6928273259687184,0.5484848484848485,0.6198979591836735,0.6675824175824175,0.5785714285714286,0.5319639049649711,0.5348047223047223,0.5372023809523809,0.5372023809523809,0.4865376984126984,0.2498374785474757,0.05573832934552973,1.8192485570907593,0.0015151515151514694,0.0,0.00020087301773896726,0.00040272433814558806,0.0018490171740311867,0.4004291296005249,0.0018289929248832548,0.002083333333333326,0.015225996754386247,-0.0035714285714286143,0.002083333333333326,0.0019280099759551028,0.0007896789288964756
0,3,3,"[3, 11, 16]","[0, 2, 4, 5, 6, 7, 8, 9, 10, 12, 14]",180,660,15,0.6976327402521104,0.4590909090909091,0.5765124555160143,0.574468085106383,0.5785714285714286,0.41404239128001974,0.4138163210342042,0.4142857142857143,0.4142857142857143,0.4604960317460317,0.2522398586479796,0.06139276822408044,1.463393211364746,0.6972188821915624,0.4636363636363636,0.5815602836879432,0.5774647887323944,0.5857142857142857,0.4173624203249843,0.4169375225713254,0.41785714285714287,0.41785714285714287,0.4635317460317461,0.2520335063583588,0.06070132734197563,1.9902219772338867,0.004545454545454519,0.0071428571428571175,-0.00020635228962079255,-0.00041385806054805574,0.003320029044964534,0.5268287658691406,0.0029967036260113433,0.0035714285714285587,-0.0006914408821048143,0.0030357142857143637,0.0035714285714285587,0.0031212015371211987,0.0050478281719289475
0,3,4,"[0, 3, 8]","[2, 4, 5, 6, 7, 9, 10, 11, 12, 14, 16]",180,660,15,0.6970663116120437,0.4818181818181818,0.5390835579514824,0.6211180124223602,0.47619047619047616,0.4736940281106893,0.4851152192289316,0.4839285714285714,0.4839285714285714,0.47169642857142857,0.25195673692355947,0.03896833116357974,1.3997348546981812,0.6994632639655408,0.4666666666666667,0.5164835164835165,0.6103896103896104,0.44761904761904764,0.46094446094446095,0.47564935064935066,0.4738095238095238,0.4738095238095238,0.4699454365079365,0.25315329661719893,0.054706108841029014,1.763830542564392,-0.015151515151515138,-0.028571428571428525,0.0011965596936394651,0.002396952353497128,-0.012749567166228326,0.36409568786621094,-0.010728402032749829,-0.010119047619047583,0.01573777767744927,-0.0017509920634920517,-0.010119047619047583,-0.009465868579580927,-0.022600041467965903
0,3,5,"[2, 6, 7]","[0, 3, 4, 5, 8, 9, 10, 11, 12, 14, 16]",180,660,15,0.696974458855227,0.4818181818181818,0.5390835579514824,0.6211180124223602,0.47619047619047616,0.4736940281106893,0.4851152192289316,0.4839285714285714,0.4839285714285714,0.4626488095238096,0.2519102061782585,0.037946419372703113,1.3680323362350464,0.7003759954211837,0.48333333333333334,0.5036390101892285,0.6479400749063671,0.4119047619047619,0.4824672144153094,0.5097206735854991,0.5101190476190476,0.5101190476190476,0.4761507936507936,0.2536091196009387,0.03440034263061756,2.042954206466675,0.001515151515151525,-0.06428571428571428,0.0016989134226801927,0.003401536565956653,0.008773186304620095,0.6749218702316284,0.02682206248400687,0.02619047619047621,-0.003546076742085555,0.013501984126984001,0.02619047619047621,0.024605454356567524,-0.03544454776225392
0,3,6,"[4, 11, 16]","[0, 2, 3, 5, 6, 7, 8, 9, 10, 12, 14]",180,660,15,0.696087149007018,0.4590909090909091,0.5765124555160143,0.574468085106383,0.5785714285714286,0.41404239128001974,0.4138163210342042,0.4142857142857143,0.4142857142857143,0.5120932539682539,0.25146786016215905,0.062189999493685665,1.473527193069458,0.6950874611904281,0.4666666666666667,0.5868544600938967,0.5787037037037037,0.5952380952380952,0.4173588539785723,0.4165448343079922,0.41845238095238096,0.41845238095238096,0.5114781746031747,0.2509704591023172,0.05863401817552968,2.0677201747894287,0.007575757575757569,0.016666666666666607,-0.0004974010598418621,-0.0009996878165898782,0.003316462698552569,0.5941929817199707,0.0042356185973206895,0.004166666666666652,-0.0035559813181559874,-0.0006150793650792075,0.004166666666666652,0.0027285132737880358,0.01034200457788248
0,6,1,"[2, 3, 4, 7, 12, 14]","[0, 5, 6, 8, 9, 10, 11, 16]",360,480,15,0.7001349852939301,0.4125,0.498220640569395,0.5343511450381679,0.4666666666666667,0.3948389635007779,0.40020309545486377,0.3944444444444445,0.3944444444444445,0.4024444444444444,0.25348996763053855,0.1075645597030719,0.8767499923706055,0.7011705725556296,0.41041666666666665,0.4937388193202147,0.5328185328185329,0.46,0.3940015792361672,0.399893429305194,0.3938888888888889,0.3938888888888889,0.39805555555555555,0.254007047871109,0.11352450487514334,1.8761612176895142,-0.002083333333333326,-0.006666666666666654,0.0005170802405704555,0.0010355872616994999,-0.0008373842646107188,0.9994112253189087,-0.0015326122196350767,-0.0005555555555555869,0.005959945172071449,-0.004388888888888831,-0.0005555555555555869,-0.0003096661496697628,-0.00448182124918034
0,6,2,"[4, 5, 6, 8, 9, 12]","[0, 2, 3, 7, 10, 11, 14, 16]",360,480,15,0.6799978836202658,0.65625,0.7048300536672629,0.7606177606177607,0.6566666666666666,0.6466793659857512,0.6472772061007355,0.6561111111111111,0.6561111111111111,0.7203148148148147,0.24342934597879845,0.1479093128194412,0.9274541139602661,0.6803116675782532,0.65,0.6967509025270758,0.7598425196850394,0.6433333333333333,0.6414788995394,0.6431955961257055,0.6522222222222223,0.6522222222222223,0.7135,0.24358599805245904,0.14344314225018023,1.7697911262512207,-0.006249999999999978,-0.013333333333333308,0.00015665207366058476,0.00031378395798742353,-0.005200466446351193,0.8423370122909546,-0.0007752409327212995,-0.0038888888888888307,-0.004466170569260963,-0.006814814814814718,-0.0038888888888888307,-0.004081609975029932,-0.00807915114018709
0,6,3,"[0, 2, 3, 6, 7, 16]","[4, 5, 8, 9, 10, 11, 12, 14]",360,480,15,0.7143674146158294,0.2916666666666667,0.32,0.4,0.26666666666666666,0.29043478260869565,0.30714285714285716,0.3,0.3,0.23883333333333331,0.2605999009369706,0.22732579732934635,0.9818462133407593,0.7180121540684556,0.25625,0.2608695652173913,0.3442622950819672,0.21,0.2562209461307082,0.2731412485510846,0.27166666666666667,0.27166666666666667,0.2540925925925926,0.2624177002751877,0.2639142559220393,2.0497093200683594,-0.03541666666666671,-0.05666666666666667,0.0018177993382170743,0.0036447394526262222,-0.034213836477987425,1.0678631067276,-0.055737704918032815,-0.02833333333333332,0.03658845859269297,0.015259259259259278,-0.02833333333333332,-0.034001608591772536,-0.05913043478260871
1,3,1,"[12, 13, 16]","[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 14, 15]",180,780,15,0.7025863719726482,0.37435897435897436,0.47300215982721383,0.31924198250728864,0.9125,0.35164303574956907,0.5479188635940698,0.5238425925925926,0.5238425925925926,0.5174691358024691,0.25471602683748895,0.13969681881941287,1.2470383644104004,0.7007520020120465,0.41410256410256413,0.4642438452520516,0.32300163132137033,0.825,0.4089253172512026,0.5357523126666732,0.5282407407407407,0.5282407407407407,0.5166898148148149,0.25379887464679474,0.09920424796067745,1.2978999614715576,0.03974358974358977,-0.08750000000000002,-0.0009171521906942148,-0.0018343699606017116,0.05728228150163356,0.05086159706115723,0.0037596488140816953,0.0043981481481480955,-0.04049257085873542,-0.0007793209876542084,0.0043981481481480955,-0.012166550927396602,-0.00875831457516224
